interaction_id,customer_id,rm_id,type,timestamp,outcome,rm_notes,duration_minutes,products_discussed
INT_0027,KH_008,RM_002,meeting,2024-01-11 14:00:00,success,"Gặp giám đốc công ty. Tư vấn gói tài khoản SME Pro và LC.",60,"tai_khoan_sme"
INT_0028,KH_008,RM_002,email,2024-01-11 16:00:00,sent,"Gửi đề xuất gói SME Pro và hạn mức LC 2 tỷ.",0,"tai_khoan_sme"
INT_0029,KH_008,RM_002,call,2024-01-18 09:00:00,success,"KH đồng ý triển khai gói SME Pro. Hẹn ký hợp đồng tuần sau.",20,"tai_khoan_sme"
INT_0030,KH_009,RM_003,call,2024-01-10 09:30:00,success,"KH VIP hỏi về sản phẩm structured note kỳ hạn 6 tháng.",25,"structured_note"
INT_0031,KH_009,RM_003,meeting,2024-01-12 14:00:00,success,"Gặp KH tại văn phòng. Tư vấn structured note liên kết vàng lãi suất 9%.",45,"structured_note"
INT_0032,KH_009,RM_003,email,2024-01-12 16:00:00,sent,"Gửi term sheet structured note và điều kiện đầu tư tối thiểu 500tr.",0,"structured_note"
INT_0033,KH_009,RM_003,call,2024-01-19 09:00:00,success,"KH xác nhận đầu tư 1 tỷ vào structured note.",20,"structured_note"
INT_0034,KH_010,RM_003,call,2024-01-11 10:00:00,success,"KH hỏi về tái tục TK tiết kiệm 500tr sắp đáo hạn. Tư vấn chuyển sang 18 tháng.",20,"tiet_kiem_18_thang"
INT_0035,KH_010,RM_003,call,2024-01-15 09:00:00,success,"KH đồng ý tái tục 18 tháng, bổ sung thêm 200tr. Hẹn làm thủ tục.",15,"tiet_kiem_18_thang"
INT_0036,KH_011,RM_003,call,2024-01-08 14:00:00,failed,"KH nói bận không tiện nói chuyện. Hẹn gọi lại thứ 3 tuần sau.",5,"vay_mua_xe"
INT_0037,KH_011,RM_003,call,2024-01-15 10:00:00,success,"KH quan tâm vay mua xe ô tô 800tr, lãi suất ưu đãi 7.9%/năm.",25,"vay_mua_xe"
INT_0038,KH_011,RM_003,email,2024-01-15 11:00:00,sent,"Gửi bảng tính trả góp vay mua xe và điều kiện vay.",0,"vay_mua_xe"
INT_0039,KH_011,RM_003,call,2024-01-22 09:30:00,success,"KH quyết định vay 600tr mua xe. Hẹn nộp hồ sơ.",20,"vay_mua_xe"
INT_0040,KH_012,RM_003,call,2024-01-12 11:00:00,success,"KH hỏi về chuyển tiền quốc tế và tỷ giá USD/VND.",15,"chuyen_tien_quoc_te"
INT_0041,KH_012,RM_003,email,2024-01-12 12:00:00,sent,"Gửi biểu phí chuyển tiền quốc tế và tỷ giá tham khảo.",0,"chuyen_tien_quoc_te"
INT_0042,KH_012,RM_003,call,2024-01-15 14:00:00,success,"KH thực hiện chuyển tiền 50.000 USD sang Mỹ. Hỗ trợ hoàn tất giao dịch.",30,"chuyen_tien_quoc_te"
INT_0043,KH_013,RM_001,call,2024-01-16 09:00:00,success,"KH mới giới thiệu bởi KH_001. Hỏi về gói tổng thể cho gia đình.",20,"goi_gia_dinh"
INT_0044,KH_013,RM_001,meeting,2024-01-18 14:00:00,success,"Gặp trực tiếp. Tư vấn gói gia đình gồm TK, thẻ và bảo hiểm.",60,"goi_gia_dinh"
INT_0045,KH_013,RM_001,email,2024-01-18 16:30:00,sent,"Gửi đề xuất gói gia đình và ưu đãi khi đăng ký combo.",0,"goi_gia_dinh"
INT_0046,KH_013,RM_001,call,2024-01-25 09:00:00,success,"KH đồng ý gói gia đình. Hẹn ra chi nhánh ký hồ sơ.",20,"goi_gia_dinh"
INT_0047,KH_014,RM_001,call,2024-01-17 10:00:00,rejected,"KH không hài lòng về phí SMS banking tăng. Cần xin xét miễn phí.",15,"tai_khoan_thanh_toan"
INT_0048,KH_014,RM_001,call,2024-01-18 11:00:00,success,"Đã xin được miễn phí SMS 3 tháng cho KH. KH hài lòng trở lại.",10,"tai_khoan_thanh_toan"
INT_0049,KH_014,RM_001,call,2024-01-25 09:30:00,success,"Follow up sau xử lý khiếu nại. KH hài lòng, hỏi thêm về tiết kiệm.",15,"tiet_kiem_12_thang"
INT_0050,KH_015,RM_002,call,2024-01-13 10:00:00,success,"KH hỏi về bảo hiểm sức khỏe toàn diện cho cả gia đình 4 người.",25,"bao_hiem_suc_khoe"
INT_0051,KH_015,RM_002,email,2024-01-13 11:30:00,sent,"Gửi bảng quyền lợi bảo hiểm sức khỏe và phí bảo hiểm cho gia đình.",0,"bao_hiem_suc_khoe"
INT_0052,KH_015,RM_002,call,2024-01-20 09:00:00,success,"KH quyết định mua bảo hiểm sức khỏe cho gia đình, phí 48tr/năm.",20,"bao_hiem_suc_khoe"
INT_0053,KH_016,RM_002,call,2024-01-14 14:00:00,success,"KH hỏi về đầu tư trái phiếu doanh nghiệp kỳ hạn 2 năm lãi suất cao.",20,"trai_phieu_dn"
INT_0054,KH_016,RM_002,email,2024-01-14 15:30:00,sent,"Gửi thông tin trái phiếu DN lãi suất 10.5%/năm kỳ hạn 24 tháng.",0,"trai_phieu_dn"
INT_0055,KH_016,RM_002,call,2024-01-21 10:00:00,success,"KH đầu tư 500tr trái phiếu DN. Hỗ trợ hoàn tất hồ sơ.",25,"trai_phieu_dn"
INT_0056,KH_017,RM_003,call,2024-01-15 11:00:00,success,"KH sắp về hưu, hỏi về kế hoạch tài chính hưu trí.",30,"bao_hiem_huu_tri"
INT_0057,KH_017,RM_003,meeting,2024-01-17 14:00:00,success,"Gặp KH và vợ. Tư vấn kế hoạch hưu trí 10 năm với bảo hiểm và đầu tư.",90,"bao_hiem_huu_tri"
INT_0058,KH_017,RM_003,email,2024-01-17 17:00:00,sent,"Gửi kế hoạch tài chính hưu trí chi tiết theo yêu cầu.",0,"bao_hiem_huu_tri"
INT_0059,KH_017,RM_003,call,2024-01-24 10:00:00,success,"KH đồng ý kế hoạch hưu trí tổng giá trị 3 tỷ. Hẹn ký hợp đồng.",20,"bao_hiem_huu_tri"
INT_0060,KH_018,RM_003,call,2024-01-16 09:00:00,failed,"KH nói đang cân nhắc nhiều ngân hàng. Hẹn gọi lại sau 1 tuần.",10,"vay_mua_nha"
INT_0061,KH_018,RM_003,call,2024-01-23 09:00:00,success,"KH quyết định chọn Bank A vay mua nhà 3 tỷ sau khi so sánh lãi suất.",25,"vay_mua_nha"
INT_0062,KH_018,RM_003,email,2024-01-23 10:00:00,sent,"Gửi điều kiện vay và hồ sơ cần chuẩn bị.",0,"vay_mua_nha"
INT_0063,KH_019,RM_001,call,2024-01-18 10:00:00,success,"KH hỏi về nâng hạn mức thẻ tín dụng từ 50tr lên 100tr.",15,"the_visa_platinum"
INT_0064,KH_019,RM_001,call,2024-01-19 09:00:00,success,"Đã xử lý nâng hạn mức thành công. KH hài lòng.",10,"the_visa_platinum"
INT_0065,KH_020,RM_001,call,2024-01-19 11:00:00,success,"KH hỏi về cho vay kinh doanh hộ cá thể 500tr.",25,"vay_kinh_doanh"
INT_0066,KH_020,RM_001,meeting,2024-01-22 14:00:00,success,"Gặp KH tại cửa hàng. Đánh giá phương án kinh doanh và tài sản đảm bảo.",60,"vay_kinh_doanh"
INT_0067,KH_020,RM_001,email,2024-01-22 17:00:00,sent,"Gửi phương án vay kinh doanh 500tr và danh sách hồ sơ.",0,"vay_kinh_doanh"
INT_0068,KH_020,RM_001,call,2024-01-29 09:00:00,success,"KH nộp hồ sơ đầy đủ. Chuyển thẩm định.",15,"vay_kinh_doanh"
INT_0069,KH_021,RM_002,call,2024-01-20 10:00:00,success,"KH muốn tìm hiểu về tích lũy bằng vàng hàng tháng.",20,"tich_luy_vang"
INT_0070,KH_021,RM_002,email,2024-01-20 11:00:00,sent,"Gửi thông tin sản phẩm tích lũy vàng SJC hàng tháng.",0,"tich_luy_vang"
INT_0071,KH_021,RM_002,call,2024-01-27 10:00:00,success,"KH đăng ký tích lũy vàng 1 chỉ/tháng tự động.",15,"tich_luy_vang"
INT_0072,KH_022,RM_002,call,2024-01-20 14:00:00,success,"KH hỏi về bảo hiểm xe ô tô kết hợp với vay mua xe.",20,"bao_hiem_xe"
INT_0073,KH_022,RM_002,email,2024-01-20 15:00:00,sent,"Gửi gói bảo hiểm xe ô tô và ưu đãi khi mua kết hợp vay.",0,"bao_hiem_xe"
INT_0074,KH_022,RM_002,call,2024-01-27 09:00:00,success,"KH mua bảo hiểm xe kết hợp vay mua xe 600tr.",20,"bao_hiem_xe"
INT_0075,KH_023,RM_003,call,2024-01-22 09:30:00,success,"KH có nguồn tiền nhàn rỗi 2 tỷ muốn đầu tư sinh lời cao.",30,"quy_mo_tcbf"
INT_0076,KH_023,RM_003,meeting,2024-01-24 14:00:00,success,"Gặp KH. Tư vấn danh mục đầu tư đa dạng gồm quỹ và trái phiếu.",60,"quy_mo_tcbf"
INT_0077,KH_023,RM_003,email,2024-01-24 16:00:00,sent,"Gửi đề xuất danh mục đầu tư 2 tỷ theo khẩu vị rủi ro vừa.",0,"quy_mo_tcbf"
INT_0078,KH_023,RM_003,call,2024-01-31 09:00:00,success,"KH đồng ý danh mục. Đặt lệnh đầu tư 2 tỷ.",25,"quy_mo_tcbf"
INT_0079,KH_024,RM_001,call,2024-01-23 10:00:00,success,"KH hỏi về chính sách tặng quà cho khách hàng thân thiết VIP.",10,"goi_vip"
INT_0080,KH_024,RM_001,meeting,2024-01-25 14:00:00,success,"Gặp KH. Giới thiệu gói VIP Priority Banking và các ưu đãi đặc biệt.",45,"goi_vip"
INT_0081,KH_025,RM_001,call,2024-01-24 09:00:00,no_answer,"Gọi không nghe. Để lại tin nhắn.",0,"tiet_kiem_12_thang"
INT_0082,KH_025,RM_001,call,2024-01-24 14:00:00,success,"KH gọi lại. Hỏi về lãi suất tiết kiệm 12 tháng cho khoản 1 tỷ.",15,"tiet_kiem_12_thang"
INT_0083,KH_025,RM_001,email,2024-01-24 15:00:00,sent,"Gửi biểu lãi suất tiết kiệm và điều kiện ưu đãi cho khoản lớn.",0,"tiet_kiem_12_thang"
INT_0084,KH_025,RM_001,call,2024-01-31 10:00:00,success,"KH mở TK tiết kiệm 1 tỷ 12 tháng lãi suất 7.5%.",20,"tiet_kiem_12_thang"
INT_0085,KH_026,RM_002,call,2024-01-25 09:00:00,success,"KH muốn mở tài khoản cho con du học tại Úc, cần chuyển tiền định kỳ.",25,"chuyen_tien_quoc_te"
INT_0086,KH_026,RM_002,email,2024-01-25 10:30:00,sent,"Gửi hướng dẫn mở tài khoản và dịch vụ chuyển tiền quốc tế định kỳ.",0,"chuyen_tien_quoc_te"
INT_0087,KH_026,RM_002,call,2024-02-01 09:00:00,success,"KH đăng ký dịch vụ chuyển tiền tự động 2.000 AUD/tháng.",15,"chuyen_tien_quoc_te"
INT_0088,KH_027,RM_002,call,2024-01-25 11:00:00,success,"KH hỏi về cơ cấu lại khoản vay mua nhà đang có tại ngân hàng khác.",30,"vay_mua_nha"
INT_0089,KH_027,RM_002,meeting,2024-01-29 14:00:00,success,"Gặp KH. Phân tích lợi ích chuyển khoản vay 2.5 tỷ về Bank A.",60,"vay_mua_nha"
INT_0090,KH_027,RM_002,email,2024-01-29 16:30:00,sent,"Gửi phân tích so sánh lãi suất và tiết kiệm khi chuyển khoản vay.",0,"vay_mua_nha"
INT_0091,KH_028,RM_003,call,2024-01-26 09:00:00,success,"KH hỏi về vay cầm cố sổ tiết kiệm để xoay vốn ngắn hạn.",15,"vay_cam_co"
INT_0092,KH_028,RM_003,call,2024-01-26 14:00:00,success,"Đã tư vấn vay cầm cố 90% giá trị sổ TK. KH đồng ý vay 450tr.",20,"vay_cam_co"
INT_0093,KH_028,RM_003,meeting,2024-01-29 10:00:00,success,"KH ra chi nhánh ký hợp đồng vay cầm cố. Giải ngân ngay trong ngày.",30,"vay_cam_co"
INT_0094,KH_029,RM_003,call,2024-01-26 10:00:00,success,"KH mới, giới thiệu bởi RM_003 từ hội thảo. Hỏi về sản phẩm tổng quan.",20,"goi_vip"
INT_0095,KH_029,RM_003,meeting,2024-01-30 14:00:00,success,"Gặp KH lần đầu. KH CEO công ty, tài sản lớn, quan tâm quản lý tài sản.",90,"goi_vip"
INT_0096,KH_029,RM_003,email,2024-01-30 17:00:00,sent,"Gửi giới thiệu dịch vụ Private Banking và wealth management.",0,"goi_vip"
INT_0097,KH_030,RM_001,call,2024-01-29 09:30:00,success,"KH hỏi về bảo hiểm nhân thọ có tích lũy cho kế hoạch giáo dục con.",25,"bao_hiem_giao_duc"
INT_0098,KH_030,RM_001,email,2024-01-29 11:00:00,sent,"Gửi minh họa quyền lợi bảo hiểm giáo dục cho trẻ em.",0,"bao_hiem_giao_duc"
INT_0099,KH_030,RM_001,call,2024-02-05 09:00:00,success,"KH đồng ý mua BHNT giáo dục phí 10tr/năm trong 15 năm.",20,"bao_hiem_giao_duc"
INT_0100,KH_031,RM_001,call,2024-01-30 10:00:00,success,"KH hỏi về lãi suất liên ngân hàng và kỳ hạn qua đêm.",15,"tiet_kiem_6_thang"
INT_0101,KH_001,RM_001,call,2024-02-05 09:00:00,success,"Follow up sau mở TK tiết kiệm. KH hài lòng. Tư vấn thêm thẻ tín dụng.",15,"the_visa_platinum"
INT_0102,KH_001,RM_001,email,2024-02-05 10:00:00,sent,"Gửi thông tin thẻ Visa Gold ưu đãi cho khách hàng tiết kiệm.",0,"the_visa_platinum"
INT_0103,KH_002,RM_001,call,2024-02-06 09:00:00,success,"KH đã chuẩn bị được một phần hồ sơ vay mua nhà. Hướng dẫn hồ sơ còn thiếu.",20,"vay_mua_nha"
INT_0104,KH_003,RM_001,call,2024-02-06 10:00:00,success,"Follow up thẻ Visa Platinum. KH đang dùng tốt. Hỏi về tích điểm đổi quà.",15,"the_visa_platinum"
INT_0105,KH_004,RM_001,call,2024-02-05 14:00:00,success,"Follow up đầu tư TCBF. Giá trị tăng 2.3% trong 3 tuần. KH hài lòng.",15,"quy_mo_tcbf"
INT_0106,KH_005,RM_002,call,2024-02-05 09:00:00,success,"TK tiết kiệm 6 tháng sắp đến kỳ trả lãi. Xác nhận KH muốn tái tục.",10,"tiet_kiem_6_thang"
INT_0107,KH_006,RM_002,call,2024-02-06 10:00:00,success,"Hồ sơ vay tín chấp đã được duyệt. Hướng dẫn KH ký hợp đồng.",15,"vay_tin_chap"
INT_0108,KH_007,RM_002,call,2024-02-05 14:00:00,success,"KH quyết định mở thêm TK tiết kiệm 12 tháng 200tr sau khi được tư vấn.",20,"tiet_kiem_12_thang"
INT_0109,KH_008,RM_002,call,2024-02-06 09:00:00,success,"Gói SME Pro đã kích hoạt. Hỗ trợ KH sử dụng Internet Banking doanh nghiệp.",30,"tai_khoan_sme"
INT_0110,KH_009,RM_003,call,2024-02-05 09:30:00,success,"Cập nhật NAV structured note. Đang sinh lời tốt hơn kế hoạch. KH hài lòng.",15,"structured_note"
INT_0111,KH_010,RM_003,call,2024-02-06 10:00:00,success,"TK 18 tháng đã mở thêm 200tr. Cập nhật số dư và lịch trả lãi.",10,"tiet_kiem_18_thang"
INT_0112,KH_011,RM_003,call,2024-02-05 14:00:00,success,"Hồ sơ vay mua xe đang thẩm định. Cập nhật tiến độ cho KH.",10,"vay_mua_xe"
INT_0113,KH_012,RM_003,call,2024-02-06 09:00:00,success,"KH muốn chuyển tiền quốc tế định kỳ hàng tháng. Hướng dẫn đăng ký.",20,"chuyen_tien_quoc_te"
INT_0114,KH_013,RM_001,call,2024-02-07 09:00:00,success,"Gói gia đình đã hoàn tất. KH giới thiệu thêm 2 người thân.",15,"goi_gia_dinh"
INT_0115,KH_014,RM_001,call,2024-02-07 10:00:00,success,"KH hài lòng sau xử lý phí. Hỏi về bảo hiểm xe máy.",15,"bao_hiem_xe"
INT_0116,KH_015,RM_002,call,2024-02-07 09:00:00,success,"Bảo hiểm sức khỏe đã phát hành thẻ. Hướng dẫn KH sử dụng quyền lợi.",20,"bao_hiem_suc_khoe"
INT_0117,KH_016,RM_002,call,2024-02-07 10:00:00,success,"Trái phiếu DN đã thanh toán kỳ lãi đầu tiên. KH nhận được 4.375tr.",10,"trai_phieu_dn"
INT_0118,KH_017,RM_003,call,2024-02-07 09:00:00,success,"Hợp đồng BHNT hưu trí đã ký. Hướng dẫn KH theo dõi quyền lợi.",15,"bao_hiem_huu_tri"
INT_0119,KH_018,RM_003,call,2024-02-07 10:00:00,success,"Hồ sơ vay mua nhà 3 tỷ đang thẩm định. Cập nhật tiến độ.",10,"vay_mua_nha"
INT_0120,KH_019,RM_001,call,2024-02-08 09:00:00,success,"KH hỏi về thanh toán thẻ tín dụng và tối ưu điểm thưởng.",15,"the_visa_platinum"
INT_0121,KH_020,RM_001,call,2024-02-08 10:00:00,success,"Hồ sơ vay kinh doanh đang thẩm định. Thẩm định viên cần thêm hồ sơ thuế.",20,"vay_kinh_doanh"
INT_0122,KH_021,RM_002,call,2024-02-08 09:00:00,success,"Tích lũy vàng đã trừ tự động tháng đầu tiên thành công.",10,"tich_luy_vang"
INT_0123,KH_022,RM_002,call,2024-02-08 10:00:00,success,"Vay mua xe được duyệt. KH nhận được thông báo và hẹn ký hợp đồng.",15,"vay_mua_xe"
INT_0124,KH_023,RM_003,call,2024-02-08 09:00:00,success,"Danh mục đầu tư 2 tỷ đang tăng trưởng tốt. Báo cáo tuần cho KH.",20,"quy_mo_tcbf"
INT_0125,KH_024,RM_001,call,2024-02-08 14:00:00,success,"KH VIP hỏi về sự kiện tri ân khách hàng tháng 3.",10,"goi_vip"
INT_0126,KH_025,RM_001,call,2024-02-09 09:00:00,success,"TK 1 tỷ đã mở thành công. KH hỏi về kế hoạch đầu tư tiếp theo.",20,"tiet_kiem_12_thang"
INT_0127,KH_026,RM_002,call,2024-02-09 09:00:00,success,"Chuyển tiền tự động đầu tiên sang Úc thành công. KH hài lòng.",10,"chuyen_tien_quoc_te"
INT_0128,KH_027,RM_002,call,2024-02-09 10:00:00,success,"KH đồng ý chuyển khoản vay 2.5 tỷ về Bank A. Hẹn nộp hồ sơ.",25,"vay_mua_nha"
INT_0129,KH_028,RM_003,call,2024-02-09 09:00:00,success,"Khoản vay cầm cố đã trả xong. KH hỏi về đầu tư khoản tiền vừa giải phóng.",20,"quy_mo_tcbf"
INT_0130,KH_029,RM_003,call,2024-02-09 10:00:00,success,"KH Private Banking muốn gặp chuyên gia wealth management.",15,"goi_vip"
INT_0131,KH_032,RM_001,call,2024-02-10 09:00:00,success,"KH mới hỏi về mở tài khoản và thẻ ATM cho lần đầu dùng ngân hàng.",15,"tai_khoan_thanh_toan"
INT_0132,KH_032,RM_001,meeting,2024-02-10 14:00:00,success,"KH ra chi nhánh mở TK thanh toán và đăng ký Internet Banking.",30,"tai_khoan_thanh_toan"
INT_0133,KH_033,RM_002,call,2024-02-10 09:30:00,success,"KH hỏi về bảo lãnh ngân hàng cho hợp đồng xây dựng.",25,"bao_lanh"
INT_0134,KH_033,RM_002,email,2024-02-10 11:00:00,sent,"Gửi điều kiện và phí bảo lãnh ngân hàng.",0,"bao_lanh"
INT_0135,KH_034,RM_003,call,2024-02-10 10:00:00,success,"KH hỏi về vay mua đất nông nghiệp chuyển mục đích.",20,"vay_mua_nha"
INT_0136,KH_034,RM_003,email,2024-02-10 11:30:00,sent,"Gửi điều kiện vay và tỷ lệ tài trợ với tài sản đảm bảo là đất.",0,"vay_mua_nha"
INT_0137,KH_035,RM_001,call,2024-02-11 09:00:00,success,"KH muốn gửi tiết kiệm online không ra chi nhánh. Hướng dẫn app.",15,"tiet_kiem_6_thang"
INT_0138,KH_035,RM_001,call,2024-02-11 14:00:00,success,"KH tự mở TK tiết kiệm 6 tháng 200tr thành công qua app.",10,"tiet_kiem_6_thang"
INT_0139,KH_036,RM_002,call,2024-02-11 09:30:00,success,"KH hỏi về thẻ tín dụng cho người thu nhập không cố định freelancer.",20,"the_visa_gold"
INT_0140,KH_036,RM_002,email,2024-02-11 11:00:00,sent,"Gửi điều kiện mở thẻ tín dụng cho freelancer có thu nhập tự do.",0,"the_visa_gold"
INT_0141,KH_037,RM_003,call,2024-02-11 10:00:00,success,"KH muốn rút tiền từ quỹ đầu tư để mua bất động sản.",20,"quy_mo_tcbf"
INT_0142,KH_037,RM_003,call,2024-02-12 09:00:00,success,"Tư vấn KH cân nhắc giữ quỹ và vay thêm thay vì rút quỹ.",25,"vay_mua_nha"
INT_0143,KH_038,RM_001,call,2024-02-12 09:00:00,no_answer,"Gọi không nghe. KH sắp đáo hạn TK.",0,"tiet_kiem_12_thang"
INT_0144,KH_038,RM_001,call,2024-02-12 14:00:00,success,"KH đồng ý tái tục TK 12 tháng thêm 100tr. Hẹn ngày mai.",15,"tiet_kiem_12_thang"
INT_0145,KH_039,RM_002,call,2024-02-12 09:30:00,success,"KH hỏi về đầu tư USD tiết kiệm ngoại tệ.",20,"tiet_kiem_ngoai_te"
INT_0146,KH_039,RM_002,email,2024-02-12 11:00:00,sent,"Gửi lãi suất tiết kiệm USD và EUR hiện tại.",0,"tiet_kiem_ngoai_te"
INT_0147,KH_040,RM_003,call,2024-02-12 10:00:00,success,"KH hỏi về mua bảo hiểm du lịch cho chuyến đi Châu Âu 3 tuần.",10,"bao_hiem_du_lich"
INT_0148,KH_040,RM_003,email,2024-02-12 10:30:00,sent,"Gửi gói bảo hiểm du lịch Châu Âu Schengen và phí.",0,"bao_hiem_du_lich"
INT_0149,KH_041,RM_001,call,2024-02-13 09:00:00,success,"KH hỏi về đóng băng tài khoản khi nghi ngờ gian lận. Hỗ trợ xử lý ngay.",10,"tai_khoan_thanh_toan"
INT_0150,KH_041,RM_001,call,2024-02-13 09:30:00,success,"Đã khóa thẻ và khóa Internet Banking tạm thời. KH yên tâm.",15,"tai_khoan_thanh_toan"
INT_0151,KH_042,RM_002,call,2024-02-13 10:00:00,success,"KH doanh nghiệp hỏi về chiết khấu hóa đơn bán hàng.",25,"chiet_khau_hoa_don"
INT_0152,KH_042,RM_002,meeting,2024-02-14 14:00:00,success,"Gặp giám đốc tài chính. Tư vấn hạn mức chiết khấu 5 tỷ.",60,"chiet_khau_hoa_don"
INT_0153,KH_043,RM_003,call,2024-02-13 11:00:00,success,"KH muốn chuyển đổi từ Premium lên VIP. Hỏi điều kiện.",15,"goi_vip"
INT_0154,KH_043,RM_003,call,2024-02-14 09:00:00,success,"KH đáp ứng điều kiện VIP. Hướng dẫn thủ tục nâng hạng.",20,"goi_vip"
INT_0155,KH_044,RM_001,call,2024-02-14 09:00:00,success,"KH mua nhà lần đầu, không biết về vay mua nhà. Tư vấn cơ bản.",30,"vay_mua_nha"
INT_0156,KH_044,RM_001,email,2024-02-14 10:30:00,sent,"Gửi cẩm nang vay mua nhà lần đầu và điều kiện vay Bank A.",0,"vay_mua_nha"
INT_0157,KH_045,RM_002,call,2024-02-14 10:00:00,success,"KH hỏi về tỷ giá mua bán ngoại tệ tiền mặt USD.",10,"chuyen_tien_quoc_te"
INT_0158,KH_046,RM_003,call,2024-02-14 09:30:00,success,"KH muốn rút một phần từ quỹ TCBF để tái cơ cấu danh mục.",20,"quy_mo_tcbf"
